Entry	Entry Name	Protein names	Gene Names	Mass	Interacts with	Subunit structure
O31675	QUEC_BACSU	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC ykvJ BSU13720	24529		SUBUNIT: Homodimer. {ECO:0000269|PubMed:18491386}.
O31676	QUED_BACSU	6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)	queD ykvK BSU13730	16468		SUBUNIT: Homotetramer. {ECO:0000269|PubMed:18259064}.
O31688	ZOSA_BACSU	Zinc-transporting ATPase (EC 7.2.2.20) (ABC-type Zn(2+) transporter) (Zn(2+)-translocating P-type ATPase)	zosA ykvW BSU13850	68566		
O31698	DARB_BACSU	Cyclic di-AMP receptor B (c-di-AMP receptor B) (c-di-AMP receptor protein DarB)	darB ykuL BSU14130	16635		SUBUNIT: Homodimer (PubMed:33619274, PubMed:35714772). Forms a homodimer with a parallel, head-to-head assembly of the monomers (PubMed:35714772). Under conditions of potassium starvation and corresponding low c-di-AMP levels, apo-DarB specifically interacts with the N-terminal region of the RelA (PubMed:33619274). Under the same conditions, apo-DarB also specifically interacts with the C-terminal part of the pyruvate carboxylase (PubMed:35130724). {ECO:0000269|PubMed:33619274, ECO:0000269|PubMed:35130724, ECO:0000269|PubMed:35714772}.
O31728	SEPF_BACSU	Cell division protein SepF	sepF ylmF BSU15390	17386	P17865; O31728	SUBUNIT: Homodimer. Interacts with FtsZ. {ECO:0000269|PubMed:16796675}.
O31743	RBGA_BACSU	Ribosome biogenesis GTPase A	rbgA ylqF BSU16050	31986		SUBUNIT: Interacts with ctc. Interacts with the immature 50S ribosome subunit. 2 molecules of RbgA bind to one 50S subunit. {ECO:0000269|PubMed:16431913, ECO:0000269|Ref.7}.
O31754	RASP_BACSU	Regulator of sigma-W protease RasP (EC 3.4.24.-) (Regulating anti-sigma-W factor activity protease) (S2P endopeptidase) (Site-2 protease RseP) (S2P protease RseP) (Site-2-type intramembrane protease) (Zinc metalloprotease RasP)	rasP yluC BSU16560	46744		
O31778	MIAB_BACSU	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB ymcB BSU17010	58170		SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_01864}.
O31782	PKSN_BACSU	Polyketide synthase PksN (EC 2.3.1.-)	pksN BSU17210	609593		
O31788	APRX_BACSU	Serine protease AprX (EC 3.4.21.-)	aprX BSU17260	47906		
O31801	YNCF_BACSU	Deoxyuridine 5'-triphosphate nucleotidohydrolase YncF (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	yncF BSU17660	16410		SUBUNIT: Homotrimer. {ECO:0000269|PubMed:20823546, ECO:0000269|PubMed:23897460}.
O31817	FOSB_BACSU	Metallothiol transferase FosB (EC 2.5.1.-) (Fosfomycin resistance protein)	fosB yndN BSU17840	17172		SUBUNIT: Homodimer.
O31822	YNGB_BACSU	UTP--glucose-1-phosphate uridylyltransferase YngB (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase) (Uridine diphosphoglucose pyrophosphorylase)	yngB BSU18180	33147		SUBUNIT: Homodimer. {ECO:0000269|PubMed:33556370}.
O31851	YOJM_BACSU	Superoxide dismutase-like protein YojM	yojM BSU19400	20953		SUBUNIT: Monomer, and homodimer. Largely unstructured monomer in solution. Well-ordered homodimer in the crystal. {ECO:0000269|PubMed:15897454, ECO:0000269|PubMed:16173759}.
O31852	CWLS_BACSU	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS (EC 3.4.19.11) (Cell wall lytic enzyme associated with cell separation)	cwlS yojL BSU19410	44235		
O31856	RSBRC_BACSU	RsbT co-antagonist protein RsbRC (Stressosome protein RsbRC)	rsbRC yojH BSU19450	32109		SUBUNIT: Probably present in the stressosome with RsbRA, RsbRB, RsbRD and RsbS.
O31875	NRDEB_BACSU	Ribonucleoside-diphosphate reductase NrdEB subunit alpha (EC 1.17.4.1) (Ribonucleotide reductase large subunit) [Cleaved into: Bsu nrdEB intein]	nrdEB yojP yosN BSU20060	124621		SUBUNIT: Tetramer of two alpha and two beta subunits. {ECO:0000250}.
O31945	YONO_BACSU	DNA-directed RNA polymerase YonO (EC 2.7.7.6) (DNA-dependent RNA polymerase YonO) (SPbeta prophage-derived protein YonO)	yonO BSU21040	97979		
O32028	MTNN_BACSU	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN mtn pfs BSU27270	25265		
O32032	PBPI_BACSU	Penicillin-binding protein 4B (PBP-4B) (PBP4b) (EC 3.4.16.4) (Penicillin-binding protein I)	pbpI yrrR BSU27310	65522		
O32036	TRMR_BACSU	tRNA 5-hydroxyuridine methyltransferase (EC 2.1.1.-) (ho5U methyltransferase)	trmR yrrM BSU27360	25063		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_02217, ECO:0000269|PubMed:29982645}.
O32047	SECDF_BACSU	Protein translocase subunit SecDF	secDF BSU27650	81654		SUBUNIT: Part of the essential Sec protein translocation apparatus which comprises SecA, SecYEG and auxiliary protein SecDF. Other proteins may also be involved (By similarity). {ECO:0000250}.
O32080	KTRA_BACSU	Ktr system potassium uptake protein A (K(+)-uptake protein KtrA)	ktrA yuaA BSU31090	24882	O32080; O32081	SUBUNIT: Homodimer, tetramer (dimer of homodimer) and octamer (tetramer of homodimer). Part of the KtrAB complex formed by an octameric catalytic ring of KtrA and a membrane associated dimer of KtrB forming a potassium channel. {ECO:0000269|PubMed:12086676, ECO:0000269|PubMed:16990138}.
O32083	LYTG_BACSU	Exo-glucosaminidase LytG (EC 3.2.1.-) (Autolysin LytG) (Exo-beta-N-acetylglucosaminidase LytG) (Peptidoglycan hydrolase LytG)	lytG yubE BSU31120	31901		
O32125	YUTF_BACSU	5'-nucleotidase YutF (EC 3.1.3.5)	yutF BSU32290	27957		SUBUNIT: Homodimer. {ECO:0000269|PubMed:27907199}.
O32137	ALLB_BACSU	Allantoinase (EC 3.5.2.5) (Allantoin-utilizing enzyme)	allB pucH yunH BSU32410	48331		SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_01645}.
O32143	XDHE_BACSU	Probable xanthine dehydrogenase subunit E (XDHase subunit E) (EC 1.17.1.4)	pucE yurB BSU32470	18838		SUBUNIT: Could be composed of four subunits: PucA, PucC, PucD and PucE.
O32144	XDHD_BACSU	Probable xanthine dehydrogenase subunit D (XDHase subunit D) (EC 1.17.1.4)	pucD yurC BSU32480	80434		SUBUNIT: Could be composed of four subunits: PucA, PucC, PucD and PucE.
O32157	FRLB_BACSU	Fructosamine deglycase FrlB (EC 3.5.-.-)	frlB yurP BSU32610	36876		SUBUNIT: Homooctamer. {ECO:0000269|Ref.3}.
O32174	GCSH_BACSU	Glycine cleavage system H protein (Octanoyl/lipoyl carrier protein)	gcvH yusH BSU32800	14254		SUBUNIT: The glycine cleavage system is composed of four proteins: P, T, L and H. {ECO:0000255|HAMAP-Rule:MF_00272}.
O32213	CYSI_BACSU	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI yvgQ BSU33430	64810		SUBUNIT: Alpha(8)-beta(8). The alpha component is a flavoprotein, the beta component is a hemoprotein (By similarity). {ECO:0000250}.
O32214	CYSJ_BACSU	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	cysJ yvgR BSU33440	67259		SUBUNIT: Alpha(8)-beta(8). The alpha component is a flavoprotein, the beta component is a hemoprotein (By similarity). {ECO:0000250}.
O32215	HELD_BACSU	DNA helicase IV (EC 3.6.4.12)	helD yvgS BSU33450	89926		SUBUNIT: Interacts with the RNA polymerase core. {ECO:0000269|PubMed:21710567}.
O32217	BDBC_BACSU	Disulfide bond formation protein C (Disulfide oxidoreductase C) (Thiol-disulfide oxidoreductase C)	bdbC yvgU BSU33470	15714		
O32218	BDBD_BACSU	Disulfide bond formation protein D (Disulfide oxidoreductase D) (Thiol-disulfide oxidoreductase D)	bdbD yvgV BSU33480	24905		
O32222	CSOR_BACSU	Copper-sensing transcriptional repressor CsoR (Copper-sensitive operon repressor)	csoR yvgZ BSU33520	11475		SUBUNIT: Homotetramer. Binds DNA with a stoichiometry of 2 tetramers per DNA. {ECO:0000269|PubMed:19249860}.
O32223	IOLW_BACSU	scyllo-inositol 2-dehydrogenase (NADP(+)) IolW (EC 1.1.1.371) (NADP(+)-dependent scyllo-inositol dehydrogenase 1) (NADP(+)-dependent SI dehydrogenase 1)	iolW yvaA BSU33530	40112		
O32231	RNR_BACSU	Ribonuclease R (RNase R) (EC 3.1.13.1) (VacB protein homolog)	rnr vacB yvaJ BSU33610	88750		
O32241	SDPI_BACSU	Immunity protein SdpI	sdpI yvaZ BSU33780	23293		
O32271	TUAD_BACSU	UDP-glucose 6-dehydrogenase TuaD (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22) (Teichuronic acid biosynthesis protein TuaD)	tuaD yvhD BSU35580	49816		
O34310	PLYC_BACSU	Pectate lyase C (EC 4.2.2.2) (Pectin lyase) (EC 4.2.2.10)	pelC yvpA BSU34950	24281		
O34330	YOBL_BACSU	Toxin YobL (DNase YobL)	yobL BSU19000	67770		SUBUNIT: Interacts with cognate immunity protein YobK but not with non-cognate putative immunity protein YezG. The interaction inhibits the toxic activity of YobL. {ECO:0000269|PubMed:22200572}.
O34340	FABF_BACSU	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF yjaY BSU11340	44005		
O34349	PGPB_BACSU	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	pgpB yodM BSU19650	22789		
O34351	CDLS_BACSU	Cyclo(L-leucyl-L-leucyl) synthase (EC 2.3.2.22) (Cyclodileucine synthase) (Cyclodipeptide synthase) (CDPS)	yvmC BSU35070	28507		SUBUNIT: Monomer. {ECO:0000269|PubMed:21325056}.
O34358	HTRA_BACSU	Serine protease Do-like HtrA (EC 3.4.21.107) (HtrA-like serine protease)	htrA ykdA BSU12900	47715		
O34385	MNTA_BACSU	Manganese-binding lipoprotein MntA	mntA ytgA BSU30770	33418		SUBUNIT: The complex is probably composed of two ATP-binding proteins (MntB), two transmembrane proteins (MntC and MntD) and a solute-binding protein (MntA) (Probable). Interacts with FloT (PubMed:23651456). {ECO:0000269|PubMed:23651456, ECO:0000305|PubMed:10760146}.
O34389	MAO3_BACSU	NAD-dependent malic enzyme 3 (NAD-ME 3) (EC 1.1.1.38) (Malate dehydrogenase MalS)	malS BSU29880	62149		
O34426	SPEH_BACSU	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speH speD ytcF BSU29010	13873		SUBUNIT: Heterotetramer of two alpha and two beta chains arranged as a dimer of alpha/beta heterodimers. {ECO:0000255|HAMAP-Rule:MF_00464}.
O34441	YLOC_BACSU	Endoribonuclease YloC (EC 3.1.26.-)	yloC BSU15660	33630		SUBUNIT: Oligomerizes, perhaps as a hexamer (PubMed:34815358). Might interact with PNPase (pnp) in E.coli (Probable) (PubMed:34815358). {ECO:0000269|PubMed:34815358, ECO:0000305|PubMed:34815358}.
O34442	MGTE_BACSU	Magnesium transporter MgtE	mgtE ykoK BSU13300	50844		SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q5SMG8}.
O34453	NOSO_BACSU	Nitric oxide synthase oxygenase (EC 1.14.14.47) (NOSoxy-like protein)	nos yflM BSU07630	41903		SUBUNIT: Homodimer. {ECO:0000269|PubMed:11856757}.
O34484	MAP12_BACSU	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18)	mapB yflG BSU07690	27211		SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_01974}.
O34508	AEEP_BACSU	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.20)	ykfB BSU12980	39473		SUBUNIT: Homooctamer; tetramer of dimers. {ECO:0000269|PubMed:11747448, ECO:0000269|PubMed:15301535}.
O34522	TRMB_BACSU	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (BsTrmB) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB ytmQ BSU29900	24504		SUBUNIT: Homodimer. {ECO:0000269|PubMed:16600901}.
O34529	PFKA_BACSU	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA pfk BSU29190	34254	O31774	SUBUNIT: Homotetramer. Component of a possible RNA degradosome complex composed of rny, rnjA, rnjB, pnp, pfkA and eno (PubMed:19193632) (although rnjA and rnjB's presence is unclear). Specifically interacts with RNase Y (rny, PubMed:21803996) and enolase (eno, PubMed:22198292). Interacts with BrxC (PubMed:33722570). {ECO:0000255|HAMAP-Rule:MF_00339, ECO:0000269|PubMed:19193632, ECO:0000269|PubMed:21803996, ECO:0000269|PubMed:22198292, ECO:0000269|PubMed:33722570}.
O34545	BRAB_BACSU	Branched-chain amino acid permease BraB (BCAA permease) (Branched-chain amino acid transport system carrier protein BraB) (Branched-chain amino acid uptake carrier BraB)	braB BSU29600	46609		
O34580	PCRA_BACSU	ATP-dependent DNA helicase PcrA (EC 5.6.2.4) (DNA 3'-5' helicase PcrA)	pcrA yerF BSU06610	83555		SUBUNIT: Interacts with YxaL; YwhK and YerB. Interacts with the RNA polymerase core (PubMed:21710567). {ECO:0000269|PubMed:12073041, ECO:0000269|PubMed:21710567}.
O34595	THII_BACSU	Probable tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI ytbJ BSU29580	45465		
O34598	GUAD_BACSU	Guanine deaminase (GDEase) (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH)	guaD gde BSU13170	17156		
O34617	RLMN_BACSU	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN yloN BSU15750	41570		
O34627	PHOT_BACSU	Blue-light photoreceptor (Photoactive flavo-yellow protein) (Phototropin homolog)	pfyP ytvA BSU30340	29195		SUBUNIT: Homodimer. {ECO:0000269|PubMed:17764689}.
O34645	AGAL_BACSU	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	melA BSU30300	49264		SUBUNIT: Homodimer. {ECO:0000250}.
O34659	CDAR_BACSU	CdaA regulatory protein CdaR (YbbR-like domain-containing protein YbbR) (c-di-AMP synthase A regulator)	cdaR ybbR BSU01760	52907		SUBUNIT: Interacts with CdaA (PubMed:23192352, PubMed:26240071). {ECO:0000269|PubMed:23192352, ECO:0000269|PubMed:26240071}.
O34667	LUXS_BACSU	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS ytjB BSU30670	17714		SUBUNIT: Homodimer.
O34739	STET_BACSU	Serine/threonine exchanger SteT	steT ykbA BSU12860	47148		SUBUNIT: Monomer. {ECO:0000269|PubMed:17344220}.
O34750	YFML_BACSU	Probable ATP-dependent RNA helicase YfmL (EC 3.6.4.13)	yfmL BSU07430	42189		
O34753	TAGO_BACSU	Probable undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) (UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase) (Undecaprenyl-Phosphate GlcNAc-1-phosphate transferase)	tagO yvhI BSU35530	39363	Q01467	
O34757	DESK_BACSU	Sensor histidine kinase DesK (EC 2.7.13.3)	desK yocF BSU19190	42673	O34757; O34723	
O34790	PCRB_BACSU	Heptaprenylglyceryl phosphate synthase (HepGP synthase) (EC 2.5.1.n9) (Glycerol-1-phosphate heptaprenyltransferase)	pcrB yerE BSU06600	25088		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00112, ECO:0000269|PubMed:21761520, ECO:0000269|PubMed:23322418, ECO:0000269|PubMed:24684232}.
O34800	SP2SB_BACSU	Stage II sporulation protein SB (Antidote protein SpoIISB) (Antitoxin SpoIISB)	spoIISB BSU12820	6655	O34853	SUBUNIT: The isolated protein is unfolded; X-ray data suggests the inactive complex forms a heterotetramer of SpoIISA(2)-SpoIISB(2), which inactivates the toxic activity of SpoIISA.
O34814	FTSE_BACSU	Cell division ATP-binding protein FtsE	ftsE BSU35260	25620		SUBUNIT: Interacts with FtsX. {ECO:0000305}.
O34816	YKUD_BACSU	Putative L,D-transpeptidase YkuD (EC 2.-.-.-) (Spore protein YkuD)	ykuD BSU14040	17643		SUBUNIT: Monomer. {ECO:0000269|PubMed:16287140}.
O34824	GLMM_BACSU	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM ybbT BSU01770	48433		SUBUNIT: Homodimer, may form a complex with CdaA. {ECO:0000269|PubMed:26240071}.
O34847	ACCA_BACSU	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA BSU29200	36334		SUBUNIT: Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD). {ECO:0000255|HAMAP-Rule:MF_00823}.
O34853	SP2SA_BACSU	Stage II sporulation protein SA (Killer protein SpoIISA) (Toxin SpoIISA)	spoIISA ykaC BSU12830	29061	O34800	SUBUNIT: Probably forms an oligomer; X-ray data suggests the inactive complex forms a heterotetramer of SpoIISA(2)-SpoIISB(2), which inactivates the toxic activity of SpoIISA. {ECO:0000269|PubMed:11371520}.
O34876	FTSX_BACSU	Cell division protein FtsX	ftsX BSU35250	33099		SUBUNIT: Interacts with FtsE (Probable). Interacts with FloT (PubMed:23651456). {ECO:0000269|PubMed:23651456, ECO:0000305}.
O34885	YDIS_BACSU	Type II restriction enzyme BsuMI component YdiS (R.BsuM) (R.BsuMI) (EC 3.1.21.4) (Endonuclease BsuMI component YdiS) (Type-2 restriction enzyme BsuMI component YdiS)	ydiS BSU06100	40033		SUBUNIT: BsuMI restriction activity requires YdiR, YdiS and YdjA. {ECO:0000269|PubMed:11751814}.
O34894	EZRA_BACSU	Septation ring formation regulator EzrA	ezrA ytwP BSU29610	64996	P28264; P17865	
O34946	ZNUC_BACSU	High-affinity zinc uptake system ATP-binding protein ZnuC (EC 7.2.2.20)	znuC adcC ycdI BSU02860	26319		SUBUNIT: The complex is composed of two ATP-binding proteins (ZnuC), two transmembrane proteins (ZnuB) and a solute-binding protein (ZnuA). {ECO:0000305}.
O34952	LTAS2_BACSU	Lipoteichoic acid synthase 2 [Cleaved into: Glycerol phosphate lipoteichoic acid synthase 2 (LTA synthase 1) (EC 2.7.8.-) (Polyglycerol phosphate synthase 2); Processed glycerol phosphate lipoteichoic acid synthase 2]	ltaS2 yflE BSU07710	74234		
O34966	ZNUA_BACSU	High-affinity zinc uptake system protein ZnuA	znuA adcA ycdH BSU02850	35660		SUBUNIT: The complex is composed of two ATP-binding proteins (ZnuC), two transmembrane proteins (ZnuB) and a solute-binding protein (ZnuA). {ECO:0000305}.
O34974	CMOJ_BACSU	N-acetyl-S-alkylcysteine sulfoxide monooxygenase (EC 1.14.14.-) (N-acetyl-S-alkylcysteine sulfoxide lyase)	cmoJ moxC ytnJ BSU29310	49411		SUBUNIT: Homodimer. {ECO:0000305|Ref.6}.
O34992	OPUCA_BACSU	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA	opuCA yvbE BSU33830	43247		SUBUNIT: The complex is composed of two ATP-binding proteins (OpuCA), two transmembrane proteins (OpuCB and OpuCD) and a solute-binding protein (OpuCC). {ECO:0000269|PubMed:10216873}.
O35016	YFKJ_BACSU	Low molecular weight protein-tyrosine-phosphatase YfkJ (LMPTP) (EC 3.1.3.48)	yfkJ BSU07880	17269		
O35022	AZOR1_BACSU	FMN-dependent NADH:quinone oxidoreductase 1 (EC 1.6.5.-) (Azo-dye reductase 1) (FMN-dependent NADH-azo compound oxidoreductase 1) (FMN-dependent NADH-azoreductase 1) (EC 1.7.1.17)	azoR1 yocJ BSU19230	22977		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01216}.
O35033	COABC_BACSU	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC yloI BSU15700	43978		
P00691	AMY_BACSU	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amyE amyA BSU03040	72378		SUBUNIT: Monomer.
P02394	RL7_BACSU	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12) (BL9) (Vegetative protein 341) (VEG341)	rplL BSU01050	12751	P38424	SUBUNIT: Homodimer. Part of the 50S ribosomal subunit; present in 4 copies per ribosome. Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Forms a pentameric L10(L12)2(L12)2 complex, where L10 forms an elongated spine to which 2 L12 dimers bind in a sequential fashion. {ECO:0000269|PubMed:15923259, ECO:0000269|PubMed:20467040}.
P04957	GUB_BACSU	Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Lichenase)	bglS bgl licS BSU39070 N15B	27269		
P05645	LEU3_BACSU	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB leuC BSU28270	39844		SUBUNIT: Homodimer.
P05648	DNAA_BACSU	Chromosomal replication initiator protein DnaA	dnaA dnaH BSU00010	50859	P05648; P37522; P37542	SUBUNIT: Interacts (via domains I (1-82) and III (111-326)) with CcrZ (PubMed:35576203). Some 20 DnaA protein molecules bind their sites in oriC. {ECO:0000269|PubMed:35576203}.
P05651	RECF_BACSU	DNA replication and repair protein RecF	recF BSU00040	42304		SUBUNIT: Recruited to foci following DNA damage; probably interacts with RecO.
P06222	RPSE_BACSU	RNA polymerase sigma-E factor (P31) (Sigma-29) (Stage II sporulation protein GB)	sigE spoIIGB BSU15320	27652		
P06533	SINR_BACSU	HTH-type transcriptional regulator SinR	sinR flaD sin BSU24610	12989		SUBUNIT: Homotetramer in the absence of SinI. Heterodimer with SinI. Interaction with SinI disrupts the SinR tetramer and its repressor activity. Interacts with hpr. {ECO:0000269|PubMed:15104138, ECO:0000269|PubMed:16923912, ECO:0000269|PubMed:9799632}.
P06535	SP0B_BACSU	Sporulation initiation phosphotransferase B (EC 2.7.-.-) (Stage 0 sporulation protein B) (Stage 0 sporulation protein D)	spo0B spo0D BSU27930	22543		SUBUNIT: Homodimer. Dimerization is essential for activity as both monomers contribute to the formation of the active site.
P06628	SP0F_BACSU	Sporulation initiation phosphotransferase F (EC 2.7.-.-) (Stage 0 sporulation protein F)	spo0F BSU37130	14228	P16497; Q59HN8; O34327	
P07908	DNAB_BACSU	Replicative helicase loader DnaB (Replication initiation and membrane attachment protein)	dnaB BSU28990	54890		SUBUNIT: Homotetramer; interacts with DnaC, but probably not as a tetramer (PubMed:12718886). Interacts with cell cycle regulator CcrZ (PubMed:35576203). {ECO:0000269|PubMed:12718886, ECO:0000269|PubMed:35576203}.
P08065	SDHA_BACSU	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	sdhA citF BSU28440	65152		SUBUNIT: In B.subtilis succinate dehydrogenase forms part of an enzyme complex containing three subunits: a flavoprotein, an iron-sulfur protein and cytochrome b-558. Interacts with FloT (PubMed:23651456). {ECO:0000269|PubMed:23651456}.
P08066	SDHB_BACSU	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	sdhB BSU28430	28418		SUBUNIT: In B.subtilis succinate dehydrogenase forms part of an enzyme complex containing three subunits: a flavoprotein, an iron-sulfur protein and cytochrome b-558.
P08874	ABRB_BACSU	Transition state regulatory protein AbrB	abrB cpsX BSU00370	10773	P08874; O31697	SUBUNIT: Interacts with BrxC. {ECO:0000269|PubMed:33722570}.
P0CI73	GLMS_BACSU	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS gcaA ybxD BSU01780	65338		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00164}.
P0CI75	BIRA_BACSU	Bifunctional ligase/repressor BirA (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA BSU22440	36182		
P0CI78	RL24_BACSU	Large ribosomal subunit protein uL24 (12 kDa DNA-binding protein) (50S ribosomal protein L24) (BL23) (HPB12)	rplX BSU01270	11142		SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000269|PubMed:30126986}.
P0CI79	TYSY1_BACSU	Thymidylate synthase 1 (TS 1) (TSase 1) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	thyA1 BSU17680	32807		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00008}.
P10475	GUN2_BACSU	Endoglucanase (EC 3.2.1.4) (Carboxymethyl-cellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)	eglS bglC gld BSU18130	55287		
P10726	RPSD_BACSU	RNA polymerase sigma-D factor (Sigma-28)	sigD flaB BSU16470	29468		SUBUNIT: Monomer (PubMed:7602586). Interacts transiently with the RNAP core (Probable). {ECO:0000269|PubMed:7602586, ECO:0000305|PubMed:21710567}.
P10727	SP2AA_BACSU	Anti-sigma F factor antagonist (Stage II sporulation protein AA)	spoIIAA BSU23470	12990		
P11044	TYSY2_BACSU	Thymidylate synthase 2 (TS 2) (TSase 2) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	thyA2 thyB BSU21820	30538		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00008}.
