Entry	Entry Name	Protein names	Gene Names	Mass	Interacts with	Subunit structure
P0A9W3	ETTA_ECOLI	Energy-dependent translational throttle protein EttA (EC 3.6.1.-) (Translational regulatory factor EttA)	ettA yjjK b4391 JW4354	62443		SUBUNIT: Monomer at concentrations found in vivo, exists in a slowly reversible monomer-homodimer equilibrium. Probably contacts ribosomal proteins L1, L5, L33 and S7, the 16S and 23S rRNA and the P-site containing tRNA(fMet). {ECO:0000269|PubMed:24389465, ECO:0000269|PubMed:24389466}.
P0A9X4	MREB_ECOLI	Cell shape-determining protein MreB (Actin-like MreB protein) (Rod shape-determining protein MreB)	mreB envB rodY b3251 JW3220	36952	P76364; P0ABH0; P0A9A6; P0A9X4; P27434	SUBUNIT: Forms polymers in the presence of ATP or GTP (PubMed:23235161). Forms an essential membrane-bound complex with MreC and MreD. Interacts directly with MreC but not with MreD (PubMed:15612918). Interacts with FtsZ, toxins CbtA and CptA, and cytoskeleton bundling-enhancing protein CbeA (PubMed:21166897, PubMed:22239607, PubMed:22515815). {ECO:0000269|PubMed:15612918, ECO:0000269|PubMed:21166897, ECO:0000269|PubMed:22239607, ECO:0000269|PubMed:22515815, ECO:0000269|PubMed:23235161}.
P0A9X9	CSPA_ECOLI	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA cspS b3556 JW3525	7403		
P0A9Y6	CSPC_ECOLI	Cold shock-like protein CspC (CSP-C)	cspC msmB b1823 JW1812	7402		
P0A9Z1	GLNB_ECOLI	Nitrogen regulatory protein P-II 1	glnB b2553 JW2537	12425	P0A9Z1; P27249; P0AC55; P0AFB5; P0AF90	SUBUNIT: Homotrimer. {ECO:0000269|PubMed:8293810}.
P0AA04	PTHP_ECOLI	Phosphocarrier protein HPr (Histidine-containing protein)	ptsH hpr b2415 JW2408	9119	P11989; P08839	
P0AA10	RL13_ECOLI	Large ribosomal subunit protein uL13 (50S ribosomal protein L13)	rplM b3231 JW3200	16019		SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:365580}.
P0AA16	OMPR_ECOLI	DNA-binding dual transcriptional regulator OmpR (Transcriptional regulatory protein OmpR)	ompR kmt ompB b3405 JW3368	27354	P0AEJ4	SUBUNIT: Monomer in solution. Up to 8 OmpR molecules bind to the ompF promoter; each 20 base pair (bp) region of the promoter binds 2 molecules of OmpR, which may only interact upon DNA-binding. Binds to direct repeats in the 20 bp DNA fragments (PubMed:7592927). At pH 7.1 protein is monomeric, as the pH decreases to 6.5 and 6.1 about 70% is dimeric, which is poorly phosphorylated. DNA-binding ability increases at acidic pH (PubMed:29138484). {ECO:0000269|PubMed:29138484, ECO:0000269|PubMed:7592927}.
P0AA25	THIO_ECOLI	Thioredoxin 1 (Trx-1)	trxA fipA tsnC b3781 JW5856	11807	P0A9P4; P00581; O22160; Q9SCY2; Q9LXX5; Q9LU86; P23321; Q9S841; P81760; P82281; Q39249	SUBUNIT: Monomer. Interacts with bacteriophage T3 DNA polymerase. {ECO:0000269|PubMed:10947986}.
P0AA37	RLUA_ECOLI	Dual-specificity RNA pseudouridine synthase RluA (EC 5.4.99.28) (EC 5.4.99.29) (23S rRNA pseudouridine(746) synthase) (Ribosomal large subunit pseudouridine synthase A) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A) (tRNA pseudouridine(32) synthase)	rluA yabO b0058 JW0057	24861		
P0AA41	TRUC_ECOLI	tRNA pseudouridine synthase C (EC 5.4.99.26) (tRNA pseudouridine(65) synthase) (tRNA pseudouridylate synthase C) (tRNA-uridine isomerase C)	truC yqcB b2791 JW2762	29666		
P0AA43	RSUA_ECOLI	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA yejD b2183 JW2171	25865	P0A7R5	SUBUNIT: Monomer.
P0AA47	PLAP_ECOLI	Low-affinity putrescine importer PlaP (Putrescine low affinity permease)	plaP yeeF b2014 JW5330	49538		
P0AA76	DGOT_ECOLI	D-galactonate transporter (D-galactonate/H(+) symporter)	dgoT yidT b3691 JW5859	47077		
P0AA78	EXUT_ECOLI	Hexuronate transporter (Aldohexuronate transport system)	exuT b3093 JW3064	46892		
P0AA84	CLSB_ECOLI	Cardiolipin synthase B (CL synthase) (EC 2.7.8.-)	clsB ybhO b0789 JW0772	47634		
P0AA89	DOSC_ECOLI	Diguanylate cyclase DosC (DGC) (EC 2.7.7.65) (Direct oxygen-sensing cyclase)	dosC dgcO yddV b1490 JW5241	53178		SUBUNIT: Forms a complex with DosP.
P0AA93	YPDA_ECOLI	Sensor histidine kinase YpdA (EC 2.7.13.3)	ypdA b2380 JW5388	62657		SUBUNIT: Interacts with BtsT and YhjX. {ECO:0000269|PubMed:24659770}.
P0AAB4	UBID_ECOLI	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	ubiD yigC yigY b3843 JW3819	55604		SUBUNIT: Homohexamer. {ECO:0000255|HAMAP-Rule:MF_01636, ECO:0000269|PubMed:28057757, ECO:0000305|PubMed:782527, ECO:0000305|Ref.7}.
P0AAC6	YCCA_ECOLI	Modulator of FtsH protease YccA	yccA b0970 JW0953	23363		SUBUNIT: Both wild-type and the yccA11 mutant interact with the FtsH/HflKC complex.
P0AAC8	ISCA_ECOLI	Iron-binding protein IscA (Iron-sulfur cluster assembly protein)	iscA yfhF b2528 JW2512	11556	P0A9R4	SUBUNIT: Homodimer; may form tetramers and higher multimers. {ECO:0000269|PubMed:14705938, ECO:0000269|PubMed:15050828}.
P0AAD6	SDAC_ECOLI	Serine transporter SdaC (H(+)/L-serine symporter) (L-serine transport system)	sdaC dcrA b2796 JW2767	46906		
P0AAD8	TDCC_ECOLI	Threonine/serine transporter TdcC (H(+)/threonine-serine symporter)	tdcC b3116 JW3087	48879		
P0AAE0	CYCA_ECOLI	D-serine/D-alanine/glycine transporter (Amino acid carrier CycA)	cycA dagA ytfD b4208 JW4166	51660		
P0AAE8	CADB_ECOLI	Cadaverine/lysine antiporter	cadB b4132 JW4093	46665		
P0AAF1	POTE_ECOLI	Putrescine transporter PotE (Putrescine-proton symporter / putrescine-ornithine antiporter)	potE b0692 JW0679	46495		SUBUNIT: Monomer. {ECO:0000269|PubMed:10964926}.
P0AAG0	DPPD_ECOLI	Dipeptide transport ATP-binding protein DppD (EC 7.4.2.9)	dppD b3541 JW3510	35844	P0A968	SUBUNIT: The complex is composed of two ATP-binding proteins (DppD and DppF), two transmembrane proteins (DppB and DppC) and a solute-binding protein (DppA) (PubMed:7536291, PubMed:16905647). MppA can replace DppA as binding protein for heme and ALA transport (PubMed:16905647). {ECO:0000269|PubMed:16905647, ECO:0000269|PubMed:7536291}.
P0AAH0	PSTB_ECOLI	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB phoT b3725 JW3703	29027		SUBUNIT: The complex is composed of two ATP-binding proteins (PstB), two transmembrane proteins (PstC and PstA) and a solute-binding protein (PstS). {ECO:0000255|HAMAP-Rule:MF_01702}.
P0AAH4	SAPD_ECOLI	Putrescine export system ATP-binding protein SapD	sapD trkE b1291 JW1284	37661		
P0AAI3	FTSH_ECOLI	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH)	ftsH hflB mrsC std tolZ b3178 JW3145	70708	P0ABC3; P0ABC7; P0AGB3; P03042	SUBUNIT: The E.coli AAA domain has been modeled as a homohexamer, in Thermus thermophilus the same domain crystallizes as a homohexamer. Forms a complex with HflKC (formerly called HflA); complex formation is stimulated by ATP. Interacts with YccA, and probably weakly with QmcA. Can be cross-linked to YidC (OxaA) and to a nascent polypeptide chain for an integral membrane protein. {ECO:0000269|PubMed:18387365, ECO:0000269|PubMed:8947034, ECO:0000269|PubMed:9159109, ECO:0000269|PubMed:9636708}.
P0AAI5	FABF_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	fabF fabJ b1095 JW1081	43046	P0A6Y8	SUBUNIT: Homodimer. {ECO:0000269|PubMed:9013860, ECO:0000269|PubMed:9482715}.
P0AAJ3	FDNH_ECOLI	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta) (FDH-N subunit beta)	fdnH b1475 JW1471	32239		SUBUNIT: Trimer of heterotrimers, consisting of subunits alpha, beta and gamma. {ECO:0000269|PubMed:11884747}.
P0AAM1	CYBH_ECOLI	Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit	hyaC b0974 JW0956	27597		
P0AAM3	HYPC_ECOLI	Hydrogenase maturation factor HypC (Chaperone-type protein HypC) (Hydrogenase accessory chaperone HypC)	hypC b2728 JW2698	9732	P0A8N3	SUBUNIT: Homodimer (PubMed:9485446). Interacts with HypD (PubMed:12441107, PubMed:15504408, PubMed:23022438). Also forms a complex with HypD and HypE (PubMed:15504408). Interacts with the precursor form of HycE (pre-HycE), the large subunit of hydrogenase 3 (PubMed:9485446, PubMed:10783387, PubMed:12441107). {ECO:0000269|PubMed:10783387, ECO:0000269|PubMed:12441107, ECO:0000269|PubMed:15504408, ECO:0000269|PubMed:23022438, ECO:0000269|PubMed:9485446}.
P0AAM7	HYBG_ECOLI	Hydrogenase maturation factor HybG (Hydrogenase-2 operon protein HybG)	hybG b2990 JW2958	8808	P0ACE0; P24192; P43674	SUBUNIT: Forms a complex with HypD and HypE (PubMed:16412426). Interacts with the precursor form of HybC (pre-HybC), the large subunit of hydrogenase 2, and with HyaB, the large subunit of hydrogenase 1 (PubMed:11292801, PubMed:16412426). {ECO:0000269|PubMed:11292801, ECO:0000269|PubMed:16412426}.
P0AAN3	HYPB_ECOLI	Hydrogenase maturation factor HypB (Hydrogenase isoenzymes nickel incorporation protein HypB)	hypB b2727 JW2697	31565	P0A700; P0A9K9	SUBUNIT: Monomer (PubMed:21544686). Can form homodimers, but dimerization does not have a critical role in the hydrogenase maturation pathway (PubMed:21544686). Forms complexes with HypA and SlyD (PubMed:15995183, PubMed:15569666, PubMed:23899293). {ECO:0000269|PubMed:15569666, ECO:0000269|PubMed:15995183, ECO:0000269|PubMed:21544686, ECO:0000269|PubMed:23899293}.
P0AAR3	YBAK_ECOLI	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	ybaK b0481 JW0470	17093	P0A9P0	
P0AAW9	ACRZ_ECOLI	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ ybhT b0762 JW5102	5300	P31224	SUBUNIT: Part of the AcrA-AcrB-AcrZ-TolC efflux pump, interacts directly with AcrB. {ECO:0000255|HAMAP-Rule:MF_01484, ECO:0000269|PubMed:23010927}.
P0AAX8	YBIS_ECOLI	Probable L,D-transpeptidase YbiS (EC 2.-.-.-)	ybiS b0819 JW0803	33325		SUBUNIT: Interacts with DsbG. {ECO:0000269|PubMed:19965429}.
P0AAZ4	RARA_ECOLI	Replication-associated recombination protein A	rarA mgsA ycaJ b0892 JW0875	49626		SUBUNIT: Homotetramer. Interacts with the single-stranded DNA-binding protein (ssb). {ECO:0000269|PubMed:21297161}.
P0AB38	LPOB_ECOLI	Penicillin-binding protein activator LpoB (PBP activator LpoB) (Lipoprotein activator of PBP from the outer membrane B)	lpoB ycfM b1105 JW5157	22516	P02919	SUBUNIT: Interacts with PBP1b. {ECO:0000269|PubMed:21183073, ECO:0000269|PubMed:21183074}.
P0AB58	LAPB_ECOLI	Lipopolysaccharide assembly protein B (Lipopolysaccharide regulatory protein)	lapB yciM b1280 JW1272	44531		
P0AB71	ALF_ECOLI	Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II) (Sedoheptulose bisphosphate aldolase)	fbaA fba fda b2925 JW2892	39147	P0A6Y8; P0AB71	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10080900, ECO:0000269|PubMed:12595741, ECO:0000269|PubMed:8836102, ECO:0000269|PubMed:8939754}.
P0AB74	KBAY_ECOLI	D-tagatose-1,6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)	kbaY agaY kba yraC b3137 JW3106	31294	P0A7K2	SUBUNIT: Homotetramer. Forms a complex with KbaZ. {ECO:0000269|PubMed:10712619, ECO:0000269|PubMed:11940603}.
P0AB77	KBL_ECOLI	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)	kbl b3617 JW3592	43117		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00985, ECO:0000269|PubMed:11318637, ECO:0000269|PubMed:2104756}.
P0AB80	ILVE_ECOLI	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	ilvE b3770 JW5606	34094		SUBUNIT: Homohexamer.
P0AB83	END3_ECOLI	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	nth b1633 JW1625	23562	P0AFG8	SUBUNIT: Monomer. {ECO:0000269|PubMed:6371006}.
P0AB87	FUCA_ECOLI	L-fuculose phosphate aldolase (EC 4.1.2.17) (D-ribulose-phosphate aldolase) (L-fuculose-1-phosphate aldolase)	fucA fucC prd b2800 JW2771	23775		SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00987, ECO:0000269|PubMed:10821675, ECO:0000269|PubMed:11054289, ECO:0000269|PubMed:15299567, ECO:0000269|PubMed:8515438, ECO:0000269|PubMed:8676381}.
P0AB89	PUR8_ECOLI	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	purB b1131 JW1117	51543	P0AFG8	SUBUNIT: Homotetramer. Residues from neighboring subunits contribute catalytic and substrate-binding residues to each active site. {ECO:0000269|PubMed:17531264}.
P0AB91	AROG_ECOLI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG b0754 JW0737	38010	P0AB91	SUBUNIT: Homotetramer.
P0AB98	ATP6_ECOLI	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB papD uncB b3738 JW3716	30303		SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a(1), b(2) and c(9-12). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. CF(1) is attached to CF(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains.
P0ABA4	ATPD_ECOLI	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH papE uncH b3735 JW3713	19332		SUBUNIT: F-type ATPases have 2 components, F(1) - the catalytic core - and F(0) - the membrane proton channel. F(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). F(0) has three main subunits: a(1), b(2) and c(10-14). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. F(1) is attached to F(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains. {ECO:0000255|HAMAP-Rule:MF_01416, ECO:0000269|PubMed:16079137}.
P0ABA6	ATPG_ECOLI	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG papC uncG b3733 JW3711	31577	P0A6E6	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c. {ECO:0000269|PubMed:16079137}.
P0ABB0	ATPA_ECOLI	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA papA uncA b3734 JW3712	55222	P0A6E6; P0ABB4	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a(1), b(2) and c(9-12). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. CF(1) is attached to CF(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains. {ECO:0000255|HAMAP-Rule:MF_01346}.
P0ABB4	ATPB_ECOLI	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD papB uncD b3732 JW3710	50325	P0ABB0	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a(1), b(2) and c(9-12). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. CF(1) is attached to CF(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains.
P0ABB8	ATMA_ECOLI	Magnesium-transporting ATPase, P-type 1 (EC 7.2.2.14) (Mg(2+) transport ATPase, P-type 1)	mgtA corB mgt b4242 JW4201	99466		SUBUNIT: Interacts with MgtS. {ECO:0000269|PubMed:28512220}.
P0ABC7	HFLK_ECOLI	Modulator of FtsH protease HflK	hflK hflA b4174 JW4132	45545	P0AAI3; P0ABC3	SUBUNIT: HflC and HflK interact to form a complex, originally called HflA, now called HflKC. HflKC interacts with FtsH; complex formation is stimulated by ATP, and with YccA. {ECO:0000269|PubMed:2973057, ECO:0000269|PubMed:8947034, ECO:0000269|PubMed:9636708}.
P0ABD3	BFR_ECOLI	Bacterioferritin (BFR) (EC 1.16.3.1) (Cytochrome b-1) (Cytochrome b-557)	bfr b3336 JW3298	18495	P0ABD3	SUBUNIT: Homooligomer of 24 subunits, arranged as 12 dimers, that are packed together to form an approximately spherical molecule with a central cavity, in which large amounts of iron can be deposited as a ferric-oxy-hydroxide mineral core. {ECO:0000269|PubMed:17077480, ECO:0000269|PubMed:18946693, ECO:0000269|PubMed:19439409, ECO:0000269|PubMed:19705876, ECO:0000269|PubMed:21215826, ECO:0000269|PubMed:7664064, ECO:0000269|PubMed:9867433}.
P0ABD5	ACCA_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA b0185 JW0180	35242	P0ABD5; P0A9Q5	SUBUNIT: Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).
P0ABD8	BCCP_ECOLI	Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)	accB fabE b3255 JW3223	16687	P24182	SUBUNIT: Homodimer.
P0ABE5	C561_ECOLI	Superoxide oxidase CybB (SOO) (EC 1.10.3.17) (Cytochrome b-561) (Cytochrome b561) (Superoxide:quinone oxidoreductase) (Superoxide:ubiquinone oxidoreductase)	cybB b1418 JW5224	20286		SUBUNIT: Monomer. {ECO:0000305|PubMed:3510204}.
P0ABF1	PCNB_ECOLI	Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein)	pcnB b0143 JW5808	53871		SUBUNIT: Monomer. Interacts with CsdA, RhlE and SrmB. {ECO:0000269|PubMed:10361280}.
P0ABF6	CDD_ECOLI	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	cdd b2143 JW2131	31540	P0ABF6	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01558, ECO:0000269|PubMed:8289286, ECO:0000269|PubMed:8634261, ECO:0000269|PubMed:9125497}.
P0ABG4	FTSW_ECOLI	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.1.129) (Cell division protein FtsW) (Cell wall polymerase) (Lipid II flippase FtsW) (Peptidoglycan polymerase) (PG polymerase)	ftsW b0089 JW0087	45987	P0AD68; P29131; P06136	SUBUNIT: Forms a complex with FtsI. Interacts also with FtsL, FtsQ and FtsN. {ECO:0000269|PubMed:15774864, ECO:0000269|PubMed:17185541, ECO:0000269|PubMed:20497333, ECO:0000269|PubMed:20847002}.
P0ABG7	RODA_ECOLI	Peptidoglycan glycosyltransferase MrdB (PGT) (EC 2.4.1.129) (Cell elongation protein RodA) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase) (Rod shape-determining protein)	mrdB rodA b0634 JW0629	40476		
P0ABH0	FTSA_ECOLI	Cell division protein FtsA	ftsA divA b0094 JW0092	45330	P0ABH0; P29131; P0A9A6; P0A9X4; P0ADX7	SUBUNIT: Self-interacts (PubMed:11053380, PubMed:17501933). Interacts with FtsZ. This interaction plays an essential role in cell division (PubMed:8917533, PubMed:17501933). Interacts directly with the cytoplasmic region of FtsN (PubMed:22328664, PubMed:24750258). {ECO:0000269|PubMed:11053380, ECO:0000269|PubMed:17501933, ECO:0000269|PubMed:22328664, ECO:0000269|PubMed:24750258, ECO:0000269|PubMed:8917533}.
P0ABH7	CISY_ECOLI	Citrate synthase (EC 2.3.3.16)	gltA gluT icdB b0720 JW0710	48015	P0ABH7; P76407	SUBUNIT: Homohexamer.
P0ABH9	CLPA_ECOLI	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA lopD b0882 JW0866	84207	P0AEC5; P0A6G7; P0A8Q6; P68646	SUBUNIT: Component of the ClpAP complex composed of six ClpA subunits assembled into a hexameric ring in the presence of ATP, and fourteen ClpP subunits arranged in two heptameric rings. Binds to ClpS. {ECO:0000269|PubMed:12235156, ECO:0000269|PubMed:12426582}.
P0ABI4	CORA_ECOLI	Magnesium transport protein CorA	corA b3816 JW3789	36590		SUBUNIT: Homopentamer. In the absence of Mg(2+), interactions between subunits are weakened, and dimers, trimers and tetramers can be observed in vitro (By similarity). {ECO:0000250|UniProtKB:Q9WZ31}.
P0ABI8	CYOB_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 1 (cyt bo(3) subunit 1) (EC 7.1.1.3) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	cyoB b0431 JW0421	74368	P77806	SUBUNIT: The cytochrome bo(3) ubiquinol oxidase complex is a heterooctamer of two A chains, two B chains, two C chains and two D chains. {ECO:0000269|PubMed:11017202, ECO:0000269|PubMed:6308657}.
P0ABJ1	CYOA_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2)	cyoA b0432 JW0422	34911		SUBUNIT: Heterooctamer of two A chains, two B chains, two C chains and two D chains. {ECO:0000269|PubMed:11017202, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:6308657}.
P0ABJ3	CYOC_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Cytochrome o subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase chain C) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3)	cyoC b0430 JW0420	22623		SUBUNIT: Heterooctamer of two A chains, two B chains, two C chains and two D chains. {ECO:0000269|PubMed:11017202, ECO:0000269|PubMed:6308657}.
P0ABJ6	CYOD_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 4 (Cytochrome o ubiquinol oxidase subunit 4) (Cytochrome o subunit 4) (Oxidase bo(3) subunit 4) (Ubiquinol oxidase chain D) (Ubiquinol oxidase polypeptide IV) (Ubiquinol oxidase subunit 4)	cyoD b0429 JW0419	12029		SUBUNIT: Heterooctamer of two A chains, two B chains, two C chains and two D chains. {ECO:0000269|PubMed:11017202, ECO:0000269|PubMed:6308657}.
P0ABJ9	CYDA_ECOLI	Cytochrome bd-I ubiquinol oxidase subunit 1 (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I)	cydA cyd-1 b0733 JW0722	58205	P0ABK2	SUBUNIT: Heterodimer of subunits I and II. Probably interacts with CydX, and overexpressed AppX. {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:23749980, ECO:0000269|PubMed:3281937, ECO:0000269|PubMed:6307994}.
P0ABK2	CYDB_ECOLI	Cytochrome bd-I ubiquinol oxidase subunit 2 (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II)	cydB cyd-2 b0734 JW0723	42453	P0ABJ9	SUBUNIT: Heterodimer of subunits I and II. Probably interacts with CydX, and overexpressed AppX. {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:23749980, ECO:0000269|PubMed:3281937, ECO:0000269|PubMed:6307994}.
P0ABK5	CYSK_ECOLI	Cysteine synthase A (CSase A) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase A) (OAS-TL A) (O-acetylserine sulfhydrylase A) (S-carboxymethylcysteine synthase) (EC 4.5.1.5) (Sulfate starvation-induced protein 5) (SSI5)	cysK cysZ b2414 JW2407	34490	P0A9D4; P0ABK5	SUBUNIT: Homodimer (Ref.6, PubMed:27531961). Forms a cysteine synthase complex with 1 copy of CysE (By similarity). {ECO:0000250|UniProtKB:P0A1E3, ECO:0000269|PubMed:22333533, ECO:0000269|PubMed:27531961, ECO:0000269|Ref.6}.; SUBUNIT: (Microbial infection) Interacts with CdiA-CT from strain 536 / UPEC, this is blocked upon preincubation with O-acetyl-L-serine. CysK forms a complex with CdiA-CT/CdiI (PubMed:22333533). One CdiA toxin subunit binds to each subunit of the CysK homodimer, and one CdiI immunity protein binds to each toxin subunit; the immune complex is thus a dimer of trimers. The 4 C-terminal residues of CdiA fit into the active site of CysK (PubMed:27531961). {ECO:0000269|PubMed:22333533, ECO:0000269|PubMed:27531961}.
P0ABK7	CSGB_ECOLI	Minor curlin subunit	csgB b1041 JW1024	15882	P0ABK7	
P0ABK9	NRFA_ECOLI	Cytochrome c-552 (EC 1.7.2.2) (Ammonia-forming cytochrome c nitrite reductase) (Cytochrome c nitrite reductase)	nrfA b4070 JW4031	53703		SUBUNIT: Homodimer (PubMed:11863430, PubMed:18311941). Component of a membrane-associated heterooligomeric complex (Probable). {ECO:0000269|PubMed:11863430, ECO:0000269|PubMed:18311941, ECO:0000305}.
